"DO NOT EDIT ANY CELL VALUES! - JUST ADD YOUR COMMENTS! (but if you edit, highlight the cell in yellow!)",,,,,,,,,,,,,,,,,,,,https://ieee-cas.org/award/outstanding-paper-awards/outstanding-young-author-award,
award_SA,record_count,award_name,award_link,individual,award_year,awardee_name,awardee_gender,gender_source,affiliation_institution,affiliation_country,affiliation_info_source,awardee_comment1,shared,awardee_profile_shown,awardee_photo_shown,awardee_comment2,awarded_paper_ref,awarded_paper_doi,checked,checker_name,checker_comment
Agricultural and Biological Sciences,11,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2013,Nitin Sekar,M,pronouns,Princeton University,USA,award page,,no,yes,yes,,"Sekar, N. and Sukumar, R. (2013), Waiting for Gajah: an elephant mutualist's contingency plan for an endangered megafaunal disperser. J Ecol, 101: 1379-1388. https://doi.org/10.1111/1365-2745.12157",10.1111/1365-2745.12157,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,12,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2012,Simon Doxford,M,pronouns,University of Sheffield,UK,award page,,no,yes,yes,,"Doxford, S.W. and Freckleton, R.P. (2012), Changes in the large-scale distribution of plants: extinction, colonisation and the effects of climate. Journal of Ecology, 100: 519-529. https://doi.org/10.1111/j.1365-2745.2011.01902.x",10.1111/j.1365-2745.2011.01902.x,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,13,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2011,Ryan Phillips,M,pronouns, Australian National University,Australia,award page,,no,yes,yes,,"Phillips, R.D., Barrett, M.D., Dixon, K.W. and Hopper, S.D. (2011), Do mycorrhizal symbioses cause rarity in orchids?. Journal of Ecology, 99: 858-869. https://doi.org/10.1111/j.1365-2745.2011.01797.x",10.1111/j.1365-2745.2011.01797.x,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,14,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2010,Yann Hautier,M,pronouns,University of Zurich,Switzerland,award page,,no,yes,yes,,"Hautier, Y., Hector, A., Vojtech, E., Purves, D. and Turnbull, L.A. (2010), Modelling the growth of parasitic plants. Journal of Ecology, 98: 857-866. https://doi.org/10.1111/j.1365-2745.2010.01657.x",10.1111/j.1365-2745.2010.01657.x,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,15,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2009,Nina Wurzburger,F,pronouns,Princeton University,USA,award page,,no,yes,yes,,"Wurzburger, N. and Hendrick, R.L. (2009), Plant litter chemistry and mycorrhizal roots promote a nitrogen feedback in a temperate forest. Journal of Ecology, 97: 528-536. https://doi.org/10.1111/j.1365-2745.2009.01487.x",10.1111/j.1365-2745.2009.01487.x,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,16,British Ecological Society Harper Prize,https://www.britishecologicalsociety.org/publications/best-paper-by-an-early-career-researcher/harper-prize/,yes,2008,Lucia Vivanco,F,photo,University of Buenos Aires,Argentina,award page,,no,no,yes,,"Vivanco, L. and Austin, A.T. (2008), Tree species identity alters forest litter decomposition through long-term plant and soil interactions in Patagonia, Argentina. Journal of Ecology, 96: 727-736. https://doi.org/10.1111/j.1365-2745.2008.01393.x",10.1111/j.1365-2745.2008.01393.x,yes,Joanna Rutkowska,changed gender based on the photo
Agricultural and Biological Sciences,1,Ecology Letters Early Career Researcher Award,https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,yes,2021,Sarah Cusser,F,name,Michigan State University,USA,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Cusser S, Helms J 4th, Bahlai CA, Haddad NM. How long do population level field experiments need to be? Utilising data from the 40-year-old LTER network. Ecol Lett. 2021 May;24(5):1103-1111. doi: 10.1111/ele.13710",10.1111/ele.13710,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,2,Ecology Letters Early Career Researcher Award,https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,yes,2020,Laura L. Figueroa,F,name,"Cornell University, Ithaca, NY",USA,award page,"info on a sub-page with ""read complete citation""",no,no,yes,photo in the movie,"Figueroa LL, Grab H, Ng WH, Myers CR, Graystock P, McFrederick QS, McArt SH. Landscape simplification shapes pathogen prevalence in plant-pollinator networks. Ecol Lett. 2020 Aug;23(8):1212-1222. doi: 10.1111/ele.13521",10.1111/ele.13521,yes,Joanna Rutkowska,see the movie
Agricultural and Biological Sciences,3,Ecology Letters Early Career Researcher Award,https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,yes,2019,Lauren G. Shoemaker,F,name,"University of Wyoming, Laramie, WY",USA,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Shoemaker LG, Hayhurst E, Weiss-Lehman CP, Strauss AT, Porath-Krause A, Borer ET, Seabloom EW, Shaw AK. Pathogens manipulate the preference of vectors, slowing disease spread in a multi-host system. Ecol Lett. 2019 Jul;22(7):1115-1125. doi: 10.1111/ele.13268",10.1111/ele.13268,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,1,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2022,Brian C. Weeks,M,name,University of Michigan,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Weeks, B.C., Willard, D.E., Zimova, M., Ellis, A.A., Witynski, M.L., Hennen, M. and Winger, B.M. (2020), Shared morphological consequences of global warming in North American migratory birds. Ecol Lett, 23: 316-325. https://doi.org/10.1111/ele.13434",10.1111/ele.13434,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,2,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2021,Bethany A. Bradley,F,name,"University of Massachusetts, Amherst, MA ",USA,article,,no,no,no,,"Bradley BA, Laginhas BB, Whitlock R, Allen JM, Bates AE, Bernatchez G, Diez JM, Early R, Lenoir J, Vilà M, Sorte CJB. Disentangling the abundance-impact relationship for invasive species. Proc Natl Acad Sci U S A. 2019 May 14;116(20):9919-9924. doi: 10.1073/pnas.1818081116",10.1073/pnas.1818081116,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,3,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2020,J. Mason Heberling,M,name,"Carnegie Museum of Natural History, Pittsburgh",USA,article,,no,no,no,,"Heberling JM, McDonough MacKenzie C, Fridley JD, Kalisz S, Primack RB. Phenological mismatch with trees reduces wildflower carbon budgets. Ecol Lett. 2019 Apr;22(4):616-623. doi: 10.1111/ele.13224",10.1111/ele.13224,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,4,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2019,Brett R. Jesmer,M,name,University of Wyoming,USA,article,,no,no,no,,"Jesmer BR, Merkle JA, Goheen JR, Aikens EO, Beck JL, Courtemanch AB, Hurley MA, McWhirter DE, Miyasaki HM, Monteith KL, Kauffman MJ. Is ungulate migration culturally transmitted? Evidence of social learning from translocated animals. Science. 2018 Sep 7;361(6406):1023-1025. doi: 10.1126/science.aat0985",10.1126/science.aat0985,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,5,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2018,Rachel M. Germain,F,name,University of British Columbia,Canada,article,,no,no,no,,"Germain RM, Strauss SY, Gilbert B. Experimental dispersal reveals characteristic scales of biodiversity in a natural landscape. Proc Natl Acad Sci U S A. 2017 Apr 25;114(17):4447-4452. doi: 10.1073/pnas.1615338114",10.1073/pnas.1615338114,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,6,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2017,Jennifer Williams,F,name,University of British Columbia,Canada,article,,no,no,no,,"Williams JL, Kendall BE, Levine JM. Rapid evolution accelerates plant population spread in fragmented experimental landscapes. Science. 2016 Jul 29;353(6298):482-5. doi: 10.1126/science.aaf6268",10.1126/science.aaf6268,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,7,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2016,Jennifer R. Gremer,F,name,University of Arizona,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Gremer JR, Venable DL. Bet hedging in desert winter annual plants: optimal germination strategies in a variable environment. Ecol Lett. 2014 Mar;17(3):380-7. doi: 10.1111/ele.12241",10.1111/ele.12241,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,8,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2015,Marcelo Ardón,M,name,East Carolina University,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Ardón M, Morse JL, Colman BP, Bernhardt ES. Drought-induced saltwater incursion leads to increased wetland nitrogen export. Glob Chang Biol. 2013 Oct;19(10):2976-85. doi: 10.1111/gcb.12287",10.1111/gcb.12287,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,9,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2014,Douglas Rasher,M,name,Georgia Institute of Technology,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Rasher DB, Hoey AS, Hay ME. Consumer diversity interacts with prey defenses to drive ecosystem function. Ecology. 2013 Jun;94(6):1347-58. doi: 10.1890/12-0389.1",10.1890/12-0389.1,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,10,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2013,Pieter T. J. Johnson,M,name,University of Colorado at Boulder,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Johnson PT, Hoverman JT. Parasite diversity and coinfection determine pathogen infection success and host fitness. Proc Natl Acad Sci U S A. 2012 Jun 5;109(23):9006-11. doi: 10.1073/pnas.1201790109",10.1073/pnas.1201790109,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,11,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2012,A. Carla Staver,F,name,Princeton University,USA,article,,yes,no,yes,photos under link to ESA Bulletin,"Staver AC, Archibald S, Levin S. Tree cover in sub-Saharan Africa: rainfall and fire constrain forest and savanna as alternative stable states. Ecology. 2011 May;92(5):1063-72. doi: 10.1890/10-1684.1",10.1890/10-1684.1,yes,Joanna Rutkowska,also Sally Archibald
Agricultural and Biological Sciences,12,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2011,Tracy Langkilde,F,name,Pennsylvania State University,USA,article,,no,yes,yes,photos under link to ESA Bulletin,Langkilde T. Invasive fire ants alter behavior and morphology of native lizards. Ecology. 2009 Jan;90(1):208-17. doi: 10.1890/08-0355.1,10.1890/08-0355.1,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,13,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2010,Meghan A. Duffy,F,name,Michigan State University,USA,article,,yes,no,yes,photos under link to ESA Bulletin,"Duffy MA, Hall SR. Selective predation and rapid evolution can jointly dampen effects of virulent parasites on Daphnia populations. Am Nat. 2008 Apr;171(4):499-510. doi: 10.1086/528998",10.1086/528998,yes,Joanna Rutkowska,also Spencer Hall 
Agricultural and Biological Sciences,14,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2009,Richard A. Lankau,M,name,University of California at Davis,USA,article,,yes,no,yes,photos under link to ESA Bulletin,"Lankau RA, Strauss SY. Mutual feedbacks maintain both genetic and species diversity in a plant community. Science. 2007 Sep 14;317(5844):1561-3. doi: 10.1126/science.1147455",10.1126/science.1147455,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,15,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2009,Sharon Y. Strauss,F,name,University of California at Davis,USA,article,,yes,no,yes,photos under link to ESA Bulletin,"Lankau RA, Strauss SY. Mutual feedbacks maintain both genetic and species diversity in a plant community. Science. 2007 Sep 14;317(5844):1561-3. doi: 10.1126/science.1147455",10.1126/science.1147455,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,16,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2008,Jonathan M. Chase,M,name,Washington University,USA,article,,no,no,yes,photos under link to ESA Bulletin,Chase JM. Drought mediates the importance of stochastic community assembly. Proc Natl Acad Sci U S A. 2007 Oct 30;104(44):17430-4. doi: 10.1073/pnas.0704350104,10.1073/pnas.0704350104,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,17,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2007,Jordi Bascompte,M,name,"Consejo Superior de Investigaciones Cientìficas, Sevilla",Spain,article,,no,no,yes,photos under link to ESA Bulletin,"Bascompte J, Jordano P, Olesen JM. Asymmetric coevolutionary networks facilitate biodiversity maintenance. Science. 2006 Apr 21;312(5772):431-3. doi: 10.1126/science.1123412",10.1126/science.1123412,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,18,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2006,Anurag Agrawal,M,name,Cornell University,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Agrawal, A.A. (2004) Resistance and susceptibility of milk-weed: competition, root herbivory and plant genetic variation. Ecology, 85: 2118-2133. https://doi.org/10.1890/03-4084",10.1890/03-4084,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,19,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2005,Daniel Bolnick,M,name,University of California at Davis,USA,article,,no,no,yes,photos under link to ESA Bulletin,"Bolnick DI, Svanbäck R, Fordyce JA, Yang LH, Davis JM, Hulsey CD, Forister ML. The ecology of individuals: incidence and implications of individual specialization. Am Nat. 2003 Jan;161(1):1-28. doi: 10.1086/343878",10.1086/343878,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,20,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2004,John J. Stachowicz,M,name,University of California at Davis,USA,article,,no,yes,yes,photos under link to ESA Bulletin,"Stachowicz, J.J., Fried, H., Osman, R.W. and Whitlatch, R.B. (2002), Biodiversity, Invasion Resistance, and Marine Ecosystem Function: Reconciling Pattern and Process.  Ecology, 83: 2575-2590",10.1890/0012-9658(2002)083[2575:BIRAME]2.0.CO;2,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,21,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2003,Jean M.L. Richardson,F,name,Brock University,USA,article,,no,no,yes,photos under link to ESA Bulletin,Richardson JM. The relative roles of adaptation and phylogeny in determination of larval traits in diversifying anuran lineages. Am Nat. 2001 Mar;157(3):282-99. doi: 10.1086/319196,10.1086/319196,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,22,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2002,Jonathan Levine,M,name,University of California at Los Angeles,USA,article,,no,no,yes,photos under link to ESA Bulletin,Levine JM. Species diversity and biological invasions: relating local process to community pattern. Science. 2000 May 5;288(5467):852-4. doi: 10.1126/science.288.5467.852,10.1126/science.288.5467.852,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,23,ESA George Mercer Award,https://www.esa.org/about/awards/george-mercer-award,yes,2001,Brian Enquist,M,name,"National Center for Ecological Analysis and Synthesis, Santa Barbara",USA,article,,no,no,yes,photos under link to ESA Bulletin,"Enquist, B., West, G., Charnov, E. et al. Allometric scaling of production and life-history variation in vascular plants. Nature 401, 907–911 (1999). https://doi.org/10.1038/44819",10.1038/44819,yes,Joanna Rutkowska,
Agricultural and Biological Sciences,1,Molecular Ecology Harry Smith Prize,https://www.molecularecologist.com/2023/03/02/nominations-open-for-the-2023-harry-smith-prize-recognizing-early-career-research-published-in-molecular-ecology/,yes,2022,Arne Jacobs,M,name,University of Glasgow,UK,award announcement,,no,no,no,https://www.molecularecologist.com/2022/05/31/2022-harry-smith-prize-awarded-to-arne-jacobs-for/,"Jacobs, A. and Elmer, K.R. (2021), Alternative splicing and gene expression play contrasting roles in the parallel phenotypic evolution of a salmonid fish. Mol Ecol, 30: 4955-4969. https://doi.org/10.1111/mec.15817",10.1111/mec.15817,no,,
Agricultural and Biological Sciences,2,Molecular Ecology Harry Smith Prize,https://www.molecularecologist.com/2023/03/02/nominations-open-for-the-2023-harry-smith-prize-recognizing-early-career-research-published-in-molecular-ecology/,yes,2021,Yann Doran,M,name,Université Laval in Québec,Canada,award announcement,,no,no,no,https://www.molecularecologist.com/2021/06/30/2021-harry-smith-prize-awarded-to-yann-dorant-for-considering-cnvs-in-the-lobster/,"Dorant, Y, Cayuela, H, Wellband, K, et al. Copy number variants outperform SNPs to reveal genotype–temperature association in a marine species. Mol Ecol. 2020; 29: 4765– 4782. https://doi.org/10.1111/mec.15565",10.1111/mec.15565,no,,
Agricultural and Biological Sciences,3,Molecular Ecology Harry Smith Prize,https://www.molecularecologist.com/2023/03/02/nominations-open-for-the-2023-harry-smith-prize-recognizing-early-career-research-published-in-molecular-ecology/,yes,2020,Katrina West,F,pronouns,"Curtin University, Bentley, WA",Australia,article,,no,no,no,https://onlinelibrary.wiley.com/doi/10.1111/mec.15759,"West KM, Stat M, Harvey ES, Skepper CL, DiBattista JD, Richards ZT, Travers MJ, Newman SJ, Bunce M. eDNA metabarcoding survey reveals fine-scale coral reef community variation across a remote, tropical island ecosystem. Mol Ecol. 2020 Mar;29(6):1069-1086. doi: 10.1111/mec.15382",10.1111/mec.15382,no,,
Agricultural and Biological Sciences,4,Molecular Ecology Harry Smith Prize,https://www.molecularecologist.com/2023/03/02/nominations-open-for-the-2023-harry-smith-prize-recognizing-early-career-research-published-in-molecular-ecology/,yes,2019,Samridhi Chaturvedi ,F,name,"Utah State University, Logan, Utah",USA,article,,no,no,no,https://onlinelibrary.wiley.com/doi/10.1111/mec.15328,"Chaturvedi, S, Lucas, LK, Nice, CC, Fordyce, JA, Forister, ML, Gompert, Z. The predictability of genomic changes underlying a recent host shift in Melissa blue butterflies. Mol Ecol. 2018; 27: 2651– 2666. https://doi.org/10.1111/mec.14578",10.1111/mec.14578,no,,
Agricultural and Biological Sciences,5,Molecular Ecology Harry Smith Prize,https://www.molecularecologist.com/2023/03/02/nominations-open-for-the-2023-harry-smith-prize-recognizing-early-career-research-published-in-molecular-ecology/,yes,2018,Nick Fountain-Jones,M,name,University of Tasmania,Australia,article,,no,no,no,https://www.molecularecologist.com/2018/09/24/nick-fountain-jones-wins-harry-smith-prize-for-study-of-virus-transmission-among-urban-bobcats/,"Fountain-Jones, NM, Craft, ME, Funk, WC, et al. Urban landscapes can change virus gene flow and evolution in a fragmentation-sensitive carnivore. Mol Ecol. 2017; 26: 6487– 6498. https://doi.org/10.1111/mec.14375",10.1111/mec.14375,no,,
Agricultural and Biological Sciences,1,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,yes,2022,Mohammad ‘Monir’ Moniruzzaman,M,name,"Virginia Tech, Blacksburg, VA",USA,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Moniruzzaman M, Weinheimer AR, Martinez-Gutierrez CA, Aylward FO. Widespread endogenization of giant viruses shapes genomes of green algae. Nature. 2020 Dec;588(7836):141-145. doi: 10.1038/s41586-020-2924-2",10.1038/s41586-020-2924-2,no,,
Agricultural and Biological Sciences,2,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,yes,2021,Ryan Lepak,M,name,"University of Wisconsin-Madison, Madison, WI",USA,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Lepak RF, Hoffman JC, Janssen SE, Krabbenhoft DP, Ogorek JM, DeWild JF, Tate MT, Babiarz CL, Yin R, Murphy EW, Engstrom DR, Hurley JP. Mercury source changes and food web shifts alter contamination signatures of predatory fish from Lake Michigan. Proc Natl Acad Sci U S A. 2019 Nov 19;116(47):23600-23608. doi: 10.1073/pnas.1907484116",10.1073/pnas.1907484116,no,,
Agricultural and Biological Sciences,3,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,yes,2020,Cristina Romera-Castillo,F,name,University of Vienna,Austria,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Romera-Castillo C, Pinto M, Langer TM, Álvarez-Salgado XA, Herndl GJ. Dissolved organic carbon leaching from plastics stimulates microbial activity in the ocean. Nat Commun. 2018 Apr 12;9(1):1430. doi: 10.1038/s41467-018-03798-5",10.1038/s41467-018-03798-5,no,,
Agricultural and Biological Sciences,4,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,yes,2019,Andrea Bravo,F,name,Uppsala University,Sweden,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Bravo AG, Bouchet S, Tolu J, Björn E, Mateos-Rivera A, Bertilsson S. Molecular composition of organic matter controls methylmercury formation in boreal lakes. Nat Commun. 2017 Feb 9;8:14255. doi: 10.1038/ncomms14255",10.1038/ncomms14255,no,,
Agricultural and Biological Sciences,5,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,yes,2018,Meredith Holgerson,F,name,Portland State University,USA,award page,"info on a sub-page with ""read complete citation""",no,no,no,,"Holgerson, M.A. and P.A. Raymond. 2016. Large contribution to inland water CO2 and CH4 emissions from very small ponds. Nature Geoscience 9: 222-226.",10.1038/ngeo2654,no,,
