Timestamp,Name_of_the_extracting_person,Scimago_Subject_Area,Award_name,Source_of_the_information_on_the_award,Award_description,Eligible,Comment_on_the_award_eligibility,Awarding_journal,Awarding_society,Awarding_publisher,Comment_on_the_awarding_body,Award_cash,Comment_on_the_award_cash,Career_stage,Comment_on_the_career_stage,Flexible_eligibility,Eligibility_phrasing,Inclusivity_statement,Inclusivity_phrasing,Assessors_transparency,Assessor_phrasing,Process_transparency,Process_phrasing,Feedback_availability,Feedback_phrasing,Criteria_transparency,Criteria_phrasing,Open_science,Valuing_Open_Science_phrasing,Self_nomination,Self-nomination_phrasing,Letter_required,Letter_requirement_phrasing,Awardee_list_source,Awardee_list_most_recent_year,Awardee_list_earliest_year,Comments_on_awardees_list,Comments_general
3/27/2023 10:06:47,Losia Lagisz,"Pharmacology, Toxicology and Pharmaceutics",Emerging Microbes & Infections Best Paper Award,https://www.tandfonline.com/journals/temi20/collections/best-paper-prize-emerging-microbes-infections,"In the first month of each year, Editors-in-Chief of EMI will announce the selection of up to 4 papers published in the previous year based on the novelty, scientific significance, and potential impact to the clinical practice and global health in the field of emerging infectious diseases.",yes (eligible award),NA,Emerging Microbes & Infections,NA,NA,NA,no,NA,any career stage,NA,not applicable,NA,no,NA,yes,"In the first month of each year, Editors-in-Chief of EMI will announce the selection of up to 4 papers published in the previous year based on the novelty, scientific significance, and potential impact to the clinical practice and global health in the field of emerging infectious diseases.",no,NA,no,NA,no,"In the first month of each year, Editors-in-Chief of EMI will announce the selection of up to 4 papers published in the previous year based on the novelty, scientific significance, and potential impact to the clinical practice and global health in the field of emerging infectious diseases.",no,NA,no,NA,no,NA,https://www.tandfonline.com/journals/temi20/collections/best-paper-prize-emerging-microbes-infections,2021,2019,NA,NA
4/11/2023 21:48:36,Yefeng Yang,Immunology and Microbiology,Emerging Microbes & Infections Best Paper Award,https://www.tandfonline.com/journals/temi20/collections/best-paper-prize-emerging-microbes-infections,"based on the novelty, scientific significance, and potential impact to the clinical practice and global health in the field of emerging infectious diseases",yes (eligible award),NA,Emerging Microbes and Infections,NA,NA,NA,no,NA,any career stage,NA,not applicable,NA,no,NA,no,NA,no,NA,no,NA,yes,"based on the novelty, scientific significance, and potential impact to the clinical practice and global health in the field of emerging infectious diseases",no,NA,no,NA,no,NA,https://www.tandfonline.com/journals/temi20/collections/best-paper-prize-emerging-microbes-infections,2021,2019,NA,NA
3/12/2023 13:45:13,Losia Lagisz,Decision Sciences,Information Systems Research Best Paper,https://pubsonline.informs.org/page/isre/awards,NA,yes (eligible award),NA,Information Systems Research,NA,NA,NA,not available,NA,any career stage,NA,not available,NA,not available,NA,not available,NA,not avialable,NA,not available,NA,not available,NA,not available,NA,not available,NA,not available,NA,https://pubsonline.informs.org/page/isre/awards,2021,2016,NA,no award info
3/14/2023 17:32:01,Robert Ross,Social Sciences,Information Systems Research Best Paper,https://pubsonline.informs.org/page/isre/awards,NA,yes (eligible award),NA,Information Systems Research,INFORMS,NA,NA,not available,NA,unclear,NA,not available,NA,not available,NA,not available,NA,not avialable,NA,not available,NA,not available,NA,not available,NA,not available,NA,not available,NA,https://pubsonline.informs.org/page/isre/awards,2021,2016,NA,"There is so little information about this award that it might not be eligible? In fact, the webpage itself doesn't seem to give the name of the award! Rather while browsing webpage for the journal called ""Information Systems Research"" we find a ""Best Paper"" award, but the full name of the award is not given."
3/12/2023 12:13:25,Losia Lagisz,Decision Sciences,M&SOM Best Paper Award,https://www.informs.org/Recognizing-Excellence/Community-Prizes/Manufacturing-and-Service-Operations-Management/M-SOM-Best-Paper-Award; https://connect.informs.org/msom/awards/distinguished-service-award2579,"Application Process
•Stage 1: Compilation of Papers.
–All papers (excluding erratum notes and editorial pieces) published by the OM dept in prior three years are “nominated” by default. No solicitation of nominations required.
–Mgt Sci OM Department Editor(s) solicit nominations of operations-related papers published outside the OM department.
•Stage 2: Approval voting to select three finalists.
–Voting open to the OM Department Editors, OM Associate Editors, and other Mgt Sci Associate Editors who are members of the MSOM Society.
–If there is a tie for the third ranked paper, then all of those tied papers will be finalists.
•Stage 3: Selection of the winner.
–Approval voting (among finalists) open to entire MSOM society.",yes (eligible award),NA,Manufacturing and Service Operations Management,Manufacturing and Service Operations Management (MSOM) Society,NA,NA,no,NA,any career stage,All papers (excluding erratum notes and editorial pieces) published by the OM dept in prior three years are “nominated” by default. No solicitation of nominations required. Mgt Sci OM Department Editor(s) solicit nominations of operations-related papers published outside the OM department.,not applicable,All papers (excluding erratum notes and editorial pieces) published by the OM dept in prior three years are “nominated” by default. No solicitation of nominations required. Mgt Sci OM Department Editor(s) solicit nominations of operations-related papers published outside the OM department.,no,NA,yes,"Voting open to the OM Department Editors, OM Associate Editors, and other Mgt Sci Associate Editors who are members of the MSOM Society. ... Approval voting (among finalists) open to entire MSOM society.",no,NA,no,NA,no,NA,no,NA,no,NA,no,Mgt Sci OM Department Editor(s) solicit nominations of operations-related papers published outside the OM department.,https://www.informs.org/Recognizing-Excellence/Community-Prizes/Manufacturing-and-Service-Operations-Management/M-SOM-Best-Paper-Award,2022,2007,NA,NA
3/30/2023 22:21:16,Andrew,"Business, Management and Accounting",M&SOM Best Paper Award,https://pubsonline.informs.org/page/msom/msom-best-paper-award,"This annual award is given to a paper, published in one of the prior three volumes of M&SOM, deemed by the M&SOM editorial board to be most deserving for its contribution to the theory and practice of operations management.",yes (eligible award),NA,Manufacturing & Service Operations Management,INFORMS,NA,NA,no,Unclear. Based on https://doi.org/10.1287/msom.2015.0559 there was a $2000 cash prize from 2015.,any career stage,NA,not available,no such document/information is available,not available,no such document/information is available,no,Unclear. There is a report of the process in 2015 https://doi.org/10.1287/msom.2015.0559,not avialable,no such document/information is available,not available,no such document/information is available,no,"This annual award is given to a paper, published in one of the prior three volumes of M&SOM, deemed by the M&SOM editorial board to be most deserving for its contribution to the theory and practice of operations management.",not available,no such document/information is available,not available,no such document/information is available,not available,no such document/information is available,https://pubsonline.informs.org/page/msom/msom-best-paper-award,2022,2007,NA,NA
3/26/2023 11:09:13,Losia Lagisz,Chemical Engineering,Materials Horizons Outstanding Paper Award,"https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons/#:~:text=To%20be%20eligible%20to%20receive,according%20to%20the%20journal's%20guidelines.","In order to recognize some of the outstanding work published in the journal, as well as the authors behind those articles, we annually award a Materials Horizons Outstanding Paper Award. The prizes recognise the contributions of all authors and celebrate these exceptional publications. Each year, we look back at the exceptionally high quality and innovative materials science published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations. The shortlist is reviewed by the journal's Editorial and Advisory Board members based on the science presented and its potential future impact.
Eligibility criteria: To be eligible to receive a Materials Horizons Outstanding Paper Award you must have published an article in the journal in the previous calendar year. All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines.
Assessment process and selection panel: The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.
Winner(s) are selected by the Materials Horizons Editorial and Advisory Boards. 
Selection panel: 
Materials Horizons Editorial Board
Materials Horizons Advisory Board
Materials Horizons Editorial Office
",yes (eligible award),NA,Materials Horizons,NA,NA,NA,no,NA,any career stage,"The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.",not applicable,NA,no,NA,yes,"Winner(s) are selected by the Materials Horizons Editorial and Advisory Boards. 
Selection panel: 
Materials Horizons Editorial Board
Materials Horizons Advisory Board
Materials Horizons Editorial Office",no,NA,no,NA,yes,"Each year, we look back at the exceptionally high quality and innovative materials science published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations. The shortlist is reviewed by the journal's Editorial and Advisory Board members based on the science presented and its potential future impact.",no,NA,no,"Each year, we look back at the exceptionally high quality and innovative materials science published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations.",no,"Each year, we look back at the exceptionally high quality and innovative materials science published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations.",https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons/#previous-winners,2021,2018,Articles and Reviews as award sub-categories,NA
3/31/2023 0:51:57,Manuela Santana,Engineering,Materials Horizons Outstanding Paper Award,https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons/,"In order to recognize some of the outstanding work published in the journal, as well as the authors behind those articles, we annually award a Materials Horizons Outstanding Paper Award. The prizes recognise the contributions of all authors and celebrate these exceptional publications.

Each year, we look back at the exceptionally high quality and innovative materials science published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations. The shortlist is reviewed by the journal's Editorial and Advisory Board members based on the science presented and its potential future impact.
",yes (eligible award),NA,Materials Horizons,Royal Society of Chemistry,NA,NA,no,NA,any career stage,NA,not applicable,NA,no,NA,yes,"The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.

Winner(s) are selected by the Materials Horizons Editorial and Advisory Boards.",no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons/#previous-winners,2020,2018,NA,NA
4/10/2023 22:22:27,Losia Lagisz,Materials Science,Materials Horizons Outstanding Paper Award,https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons,"To be eligible to receive a Materials Horizons Outstanding Paper Award you must have published an article in the journal in the previous calendar year. All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines. 
The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.
Winner(s) are selected by the Materials Horizons Editorial and Advisory Boards.
Selection panel
Materials Horizons Editorial Board
Materials Horizons Advisory Board
Materials Horizons Editorial Office",yes (eligible award),NA,Materials Horizons,NA,NA,NA,no,NA,any career stage,NA,not applicable,All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines.,no,NA,yes,"Winner(s) are selected by the Materials Horizons Editorial and Advisory Boards.
Selection panel
Materials Horizons Editorial Board
Materials Horizons Advisory Board
Materials Horizons Editorial Office",no,NA,no,NA,yes,"The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.",no,NA,no,NA,no,NA,https://www.rsc.org/journals-books-databases/about-journals/materials-horizons/outstanding-paper-award-of-materials-horizons/#eligibility,2020,2018,NA,impact award
4/4/2023 14:36:15,David Borg,Health Professions,Paper of the Year,https://www.multibriefs.com/briefs/acsm/Active060220.htm,"Authorship of a published paper in any of ACSM’s five highly acclaimed journals takes considerable time, effort and determination to accomplish. Countless hours of work result in a submitted manuscript that must undergo a rigorous peer-review process that ensures only the top manuscripts are accepted for publication. The final product, an accepted manuscript, eventually becomes a published paper that is viewed by scientists, clinicians, practicing professionals, students and the public around the world. The rewards of a published paper include, but are not limited to, furthering the knowledge of science and practice, support for future research activities and professional advancement.

During the past six months, ACSM leadership and staff, members of the ACSM Publications Committee and the editors-in-chief of ACSM’s five journals have considered additional ways to recognize the outstanding accomplishments of authors who have published in an ACSM journal. After many discussions, we proudly announce the establishment of an annual Paper of the Year award for each of ACSM’s journals. The process to identify the award winner required each editor-in-chief to work with their journal’s associate editors to select a paper based on the criteria of significance and impact of the article.

Paper of the Year award recipients will be announced annually in Sports Medicine Bulletin in conjunction with the ACSM Annual Meeting. Principle authors and co-authors also will be recognized in an issue of the publishing journal following the annual meeting. Authors will have an opportunity to present a five-minute summary during the publications symposium at annual meeting and will receive a recognition plaque. This year presents an opportunity to bring the publications symposium and Paper of the Year recognitions to ACSM members in unique and engaging ways. Stay tuned in the coming weeks for more news on how these papers will be shared.",yes (eligible award),NA,Exercise and Sport Sciences Reviews: Paper of the Year,NA,NA,American College of Sports Medicine,not available,NA,unclear,NA,not available,NA,not available,NA,not available,The process to identify the award winner required each editor-in-chief to work with their journal’s associate editors to select a paper based on the criteria of significance and impact of the article.,not avialable,NA,not available,NA,not available,NA,not available,NA,no,NA,no,NA,Not available,2021,2019,NA,Award linked to the best paper award in MSSE.
4/4/2023 16:02:34,David Borg,Health Professions,Paper of the Year,https://onlinelibrary.wiley.com/page/journal/16000838/homepage/sjmss-awards,"The Scandinavian Journal of Medicine and Science in Sports Paper of the Year is awarded annually to the paper considered as providing new and important insights, having a high level of scientific rigour, and making an important contribution to sport and exercise science and medicine. It is selected by a panel comprised of the Senior Section Editors of the journal. For more details, contact SJMSSedoffice@wiley.com",yes (eligible award),NA,The Scandinavian Journal of Medicine and Science in Sports Paper of the Year,NA,Scandinavian Journal of Medicine and Science in Sports,NA,not available,NA,unclear,NA,not available,NA,not available,NA,not available,NA,not avialable,NA,not available,NA,not available,NA,not available,NA,not available,NA,not available,NA,https://onlinelibrary.wiley.com/page/journal/16000838/homepage/sjmss-awards,2022,2021,NA,We will need to contact the journal for more info: SJMSSedoffice@wiley.com
2/26/2023 7:06:06,Joanna Rutkowska,Psychology,Personnel Psychology Best Paper Award,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/personnel-psychology-awards,"Every year, best paper award is given to a paper published two years prior. The journal’s editor and associate editors nominate papers based on their contributions to the literature and impact.",yes (eligible award),NA,Personnel Psychology,NA,NA,NA,no,NA,any career stage,NA,not applicable,NA,no,NA,yes,Awards committee consisting of editorial board members and chaired by an Associate Editor.,no,NA,no,NA,no,The journal’s editor and associate editors nominate papers based on their contributions to the literature and impact.,no,NA,no,NA,no,NA,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/personnel-psychology-awards,2022,2018,NA,"Awarded papers are free to read  for some time, not clear for how long"
3/30/2023 22:38:03,Andrew,"Business, Management and Accounting",Personnel Psychology Best Paper Award,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/personnel-psychology-awards,"Every year, best paper award is given to a paper published two years prior. The journal’s editor and associate editors nominate papers based on their contributions to the literature and impact. The three finalists are shared with an awards committee consisting of editorial board members and chaired by an Associate Editor.",yes (eligible award),NA,Personnel Psychology,NA,NA,NA,not available,no such document/information is available,any career stage,"Every year, best paper award is given to a paper published two years prior.",not available,no such document/information is available,not available,no such document/information is available,yes,The journal’s editor and associate editors nominate papers based on their contributions to the literature and impact. The three finalists are shared with an awards committee consisting of editorial board members and chaired by an Associate Editor.,not avialable,no such document/information is available,not available,no such document/information is available,no,The journal’s editor and associate editors nominate papers based on their contributions to the literature and impact.,not available,no such document/information is available,not available,no such document/information is available,not available,no such document/information is available,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/personnel-psychology-awards,2022,2018,NA,NA
3/12/2023 8:02:36,Shinichi,Chemistry,Proceedings of the Combustion Institute Distinguished Papers,https://www.combustioninstitute.org/resources/awards/distinguished-papers/,"Distinguished papers are selected biennially from among the scientific papers presented during the International Symposium on Combustion and accepted for publication in the Proceedings of The Combustion Institute. One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance.",yes (eligible award),NA,Proceedings of The Combustion Institute,The Combustion Institute,NA,NA,no,NA,any career stage,NA,not applicable,NA,no,NA,no,NA,no,NA,no,NA,no,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance.",no,NA,no,NA,no,NA,https://www.combustioninstitute.org/resources/awards/distinguished-papers/,2022,2011,awarded grouped by thematic category,NA
3/26/2023 11:33:18,Losia Lagisz,Chemical Engineering,Proceedings of the Combustion Institute Distinguished Papers,https://www.combustioninstitute.org/resources/awards/distinguished-papers/,"Distinguished papers are selected biennially from among the scientific papers presented during the International Symposium on Combustion and accepted for publication in the Proceedings of The Combustion Institute. One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance.",yes (eligible award),NA,Proceedings of the Combustion Institute,The Combustion Institute,NA,NA,no,NA,any career stage,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance",not applicable,NA,no,NA,no,NA,no,NA,no,NA,no,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance",no,NA,no,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance",no,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance",https://www.combustioninstitute.org/resources/awards/distinguished-papers/,2022,2011,winners grouped by topic,NA
2/13/2023 15:44:51,Losia Lagisz,"Biochemistry, Genetics and Molecular Biology",Publisher's Award for Excellence in Systematic Research,https://www.systbio.org/publishers-award.html,This Award is sponsored by Systematic Biology's publisher. The award is presented to the two best papers based on student research published in Systematic Biology during the previous year. The lead author must have been a student at the time the research was conducted. The Publisher's Award is $US 500 and is presented at the annual meeting to the student authors. If an article is co-authored by 2 or more students then special arrangements can be made to ensure appropriate recognition of each. The award was initiated with Volume 48 (1998) and the first award was presented at the 1999 meeting. The winner is selected by a committee consisting of the President and the Editor. No application is required.,yes (eligible award),NA,Systematic Biology,Society of Systematic Biologists,NA,NA,yes,500 USD,student,The lead author must have been a student at the time the research was conducted.,not applicable,The lead author must have been a student at the time the research was conducted.,no,NA,yes,The winner is selected by a committee consisting of the President and the Editor.,no,NA,no,NA,no,The award is presented to the two best papers based on student research published in Systematic Biology during the previous year.,no,NA,no,NA,no,NA,https://www.systbio.org/publishers-award.html,2021,1998,"before 2000 no publication information is provided, just thewinners' names",NA
3/12/2023 8:28:18,Losia Lagisz,Agricultural and Biological Sciences,Publisher's Award for Excellence in Systematic Research,https://academic.oup.com/sysbio/pages/publishers_award,Oxford University Press are pleased to sponsor the Systematic Biology Publisher's Award. The award is presented to the two best papers based on student research published in the journal during the previous year. The lead author must have been a student at the time the research was conducted. The Publisher's Award is $500 and is presented at the annual meeting to the student authors. If an article is co-authored by 2 or more students then special arrangements can be made to ensure appropriate recognition of each. The winner is selected by a committee consisting of the President and the Editor. No application is required.,yes (eligible award),NA,Systematic Biology,Society of Systematic Biologists,Oxford University Press,NA,yes,500 USD,student,The lead author must have been a student at the time the research was conducted.,not applicable,The lead author must have been a student at the time the research was conducted.,no,NA,yes,The winner is selected by a committee consisting of the President and the Editor.,no,NA,no,NA,no,The award is presented to the two best papers based on student research published in the journal during the previous year.,no,NA,no,no information,no,NA,https://academic.oup.com/sysbio/pages/publishers_award,2021,1998,no paper titles listed for 1998-2000,NA
3/1/2023 9:08:20,April Martinig,Earth and Planetary Sciences,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,"This annual award in honor of Raymond L. Lindeman (1915-1942) was first presented in 1987 to recognize an outstanding paper written by a young aquatic scientist. The initial gift to create a fund for the Lindeman award was made in 1986 by Lindeman's colleague in graduate school, Charles B. Reif of Wilkes College, PA, and a subsequent gift from Reif continues to support the award. Lindeman received his Ph.D. in March, 1941 from the University of Minnesota, and began postdoctoral work with G. Evelyn Hutchinson at Yale that September. His career was cut short by his death in April, 1942; he was only 27. The paper for which he is most remembered was published posthumously in 1942 (The trophic-dynamic aspect of ecology, Ecology 23: 399-418). The paper is the result of his thesis work on Cedar Creek Bog, Minnesota; he already had a draft version completed when he joined Hutchinson's lab. Hutchinson was instrumental in getting the paper accepted for publication (it was initially rejected by reviewers!). This paper has since become the foundation for research on the flow of energy in plant and animal communities. To learn more about Lindeman, read the biography of Lindeman by Bob Sterner in the May 2006 issue of the Limnology and Oceanography Bulletin.",yes (eligible award),"This annual award recognizes an outstanding paper dealing with the aquatic sciences. Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD. The paper must be published in a peer-reviewed journal two years before the award year (e.g., 2022 award will be presented for work published in 2020). The nominee must be first author if there is more than one author. Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees. This award is for an individual.",NA,Association for the Sciences of Limnology and Oceanography,NA,More than one journal is considered for the award,no,NA,"student, early-career",Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD.,not applicable,"This annual award recognizes an outstanding paper dealing with the aquatic sciences. Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD. The paper must be published in a peer-reviewed journal two years before the award year (e.g., 2022 award will be presented for work published in 2020). The nominee must be first author if there is more than one author. Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees. This award is for an individual.",no,NA,no,NA,no,NA,no,NA,no,This annual award recognizes an outstanding paper dealing with the aquatic sciences.,no,NA,no,"Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees.",yes,Nominations should include a copy of the paper and a brief letter of less than 500 words describing the impact of the paper on the field.,https://www.aslo.org/aslo-awards/2022-aslo-award-recipients/,2022,2016,if Internet searches will be needed to locate announcements with names of past winners pre-2016,NA
3/12/2023 9:50:57,Losia Lagisz,Agricultural and Biological Sciences,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,"This annual award in honor of Raymond L. Lindeman (1915-1942) was first presented in 1987 to recognize an outstanding paper written by a young aquatic scientist.
ELIGIBILITY
This annual award recognizes an outstanding paper dealing with the aquatic sciences. Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD. The paper must be published in a peer-reviewed journal two years before the award year (e.g., 2022 award will be presented for work published in 2020). The nominee must be first author if there is more than one author. Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees. This award is for an individual.
NOMINATIONS PACKAGE
Nominations should include a copy of the paper and a brief letter of less than 500 words describing the impact of the paper on the field.",yes (eligible award),NA,NA,Association for the Sciences of Limnology and Oceanography (ASLO),NA,NA,no,NA,"student, early-career",Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD.,no,NA,no,NA,yes,info available at https://www.aslo.org/about-aslo/aslo-committees/aslo-awards-committees/lindeman-and-martin-award-subcommittee/,no,NA,no,NA,no,This annual award recognizes an outstanding paper dealing with the aquatic sciences.,no,NA,no,"Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees.",yes,Nominations should include a copy of the paper and a brief letter of less than 500 words describing the impact of the paper on the field.,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,2022,1987,NA,NA
2/26/2023 7:13:58,Joanna Rutkowska,Psychology,The Leadership Quarterly Best Article Award,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards#the-leadership-quarterly-best-article-award,"The Leadership Quarterly Best Article Award, sponsored by the Center for Creative Leadership, is presented annually in recognition of the best published paper submitted during the previous year to The Leadership Quarterly.",yes (eligible award),NA,The Leadership Quarterly,NA,NA,NA,yes,"The award includes a citation, cash award and invitation to visit CCL.",any career stage,NA,not applicable,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards#the-leadership-quarterly-best-article-award,2021,1995,Award is not discontinued,NA
3/14/2023 16:27:04,Robert Ross,Social Sciences,The Leadership Quarterly Best Article Award,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards,"""The Leadership Quarterly Best Article Award, sponsored by the Center for Creative Leadership, is presented annually in recognition of the best published paper submitted during the previous year to The Leadership Quarterly. The annual award for best paper is presented jointly by CCL and The Leadership Quarterly. The award includes a citation, cash award and invitation to visit CCL.""",yes (eligible award),NA,The Leadership Quarterly,Center for Creative Leadership,NA,NA,yes,Page says cash is awarded but doesn't say how much cash.,any career stage,NA,not applicable,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,no,NA,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards,2022,1995,NA,NA
3/30/2023 22:48:47,Andrew,"Business, Management and Accounting",The Leadership Quarterly Best Article Award,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards,"The Leadership Quarterly Best Article Award, sponsored by the Center for Creative Leadership, is presented annually in recognition of the best published paper submitted during the previous year to The Leadership Quarterly. The annual award for best paper is presented jointly by CCL and The Leadership Quarterly. The award includes a citation, cash award and invitation to visit CCL.",yes (eligible award),NA,The Leadership Quarterly,NA,Center for Creative Leadership,NA,yes,Amount unspecified,any career stage,"The Leadership Quarterly Best Article Award, sponsored by the Center for Creative Leadership, is presented annually in recognition of the best published paper submitted during the previous year to The Leadership Quarterly.",not available,no such document/information is available,not available,no such document/information is available,no,NA,not avialable,no such document/information is available,not available,no such document/information is available,no,"The Leadership Quarterly Best Article Award, sponsored by the Center for Creative Leadership, is presented annually in recognition of the best published paper submitted during the previous year to The Leadership Quarterly.",not available,no such document/information is available,not available,no such document/information is available,not available,no such document/information is available,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/awards,2022,1995,NA,NA
