Timestamp,Name of the extracting person,Scimago Subject Area,Full name of the award,Source of the information on the award,Paste the information text describing the award,Confirm eligibility of the award,Comment on the award eligibility ,Full name of the awarding journal,Full name of the awarding society,Full name of the awarding publisher/other body,Comment on the awarding body ,Award cash,Comment on the award cash ,"Target career stage of eligible applicants, as stated in the award information ",Comment on the career stage ,Flexibility of the eligibility criteria,Eligibility phrasing,Inclusivity statement,Inclusivity phrasing,Assessor transparency,Assessor phrasing,Process transparency,Process phrasing,Feedback availability,Feedback phrasing,Criteria transparency,Criteria phrasing,Valuing Open Science,Valuing Open Science phrasing,Self-nomination allowed,Self-nomination phrasing,Letter required,Letter requirement phrasing,Awardee list source,Awardee list most recent year ,Awardee list earliest year ,Comments on awardees list,Comments_general,,,,,,
2/13/2023 22:23:58,Losia Lagisz,Medicine,EAU Hans Marberger Award,https://eaucongress.uroweb.org/wp-content/uploads/EAU23-Marberger-Award-2023.pdf,"The EAU Hans Marberger Award will be handed out for the best European paper published on Minimally Invasive Surgery in Urology. The award, annually given since 2004, is named after Prof. Hans Marberger to honour his pioneering achievements and contributions to endourology and the development of urologic minimally invasive surgical procedures.
The awardee will be honoured during the 38th Annual EAU Congress in Milan, 10-13 March 2023, during the Opening Ceremony.
Rules and Eligibility
• All urologists and scientists are invited to send in papers.
• The topic of the paper should deal with Minimally Invasive Surgery in Urology.
• The paper must have been published or
accepted for publication in a European Journal between 1 October 2021 and 30 September 2022.
• All papers must be submitted in English. • All applicants have to be a member of
the EAU.
• The submitting author must be either the
first or the corresponding senior last author. • Each author is allowed to submit no more
than one paper.
• Deadline for submission is 1 November
2022.
A review committee, consisting of members of the EAU Scientific Congress Office, will select the winning paper.
How to apply
Please send your paper to the EAU Central Office at m.smink@uroweb.org and mention “EAU Hans Marberger Award 2023” in the subject line of your e-mail.",yes (eligible award),,NA,European Association of Urology,NA,,yes,"5000 EUR ""The award includes a €5,000 grant and will be made available for the best paper in this category which has been published or accepted for publication in a European journal between 1 October 2021 and 30 September 2022.""",any career stage,• All urologists and scientists are invited to send in papers.,not applicable,NA,no,,yes,"A review committee, consisting of members of the EAU Scientific Congress Office, will select the winning paper.",no,,no,,no,The EAU Hans Marberger Award 2023 will be handed out for the best European paper published on Minimally Invasive Surgery in Urology. ,no,,yes,All urologists and scientists are invited to send in papers.,no,Please send your paper to the EAU Central Office at m.smink@uroweb.org and mention “EAU Hans Marberger Award 2023” in the subject line of your e-mail.,https://nurses.uroweb.org/awards/eau-hans-marberger-award/,2022,2004,"the website only has the awardee nemeses for 2004-2014, other can be potentially found in the news online, e.g. https://eaucongresshistory.org/awards/eau-hans-marberger-award-2021/",,,,,,,
2/14/2023 11:06:45,Losia Lagisz,Medicine,JACC Young Author Achievement Awards (the Parmley Prize),https://www.jacc.org/events/conferences/acc-2022-awards; https://www.sciencedirect.com/science/article/pii/S0735109702020314?via%3Dihub,Thirteen young authors have been awarded Young Author Achievement Awards by the ACC in recognition of outstanding research published in one of the JACC specialty journals. The Young Author Achievement Awards are awarded to researchers within the first five years of their training. Editorial boards for each JACC specialty journal nominate winners chosen from research submitted in the prior year.,yes (eligible award),,NA,American College of Cardiology,Elsevier,Elsevier mentioned as helping establishing the award,yes,"The award itself will consist of certificates for both the awardees and their Program Directors, as well as grants to cover the expenses for awardees to attend the Annual Scientific Sessions or an educational program of the American College of Cardiology (ACC).","student, early-career",The Young Author Achievement Awards are awarded to researchers within the first five years of their training. ,no,The Young Author Achievement Awards are awarded to researchers within the first five years of their training.,no,,yes,Editorial boards for each JACC specialty journal nominate winners chosen from research submitted in the prior year.,no,,no,,no,,no,,no,,no,Editorial boards for each JACC specialty journal nominate winners chosen from research submitted in the prior year.,https://www.jacc.org/events/conferences/acc-2022-awards; earier announcements need to be Googled,2022,2011,no single page with all past awardees,number of awardees and subcategories changed over time,,,,,,
2/14/2023 11:21:29,Losia Lagisz,Medicine,Chinese Medical Association Outstanding Research Award ,https://journals.lww.com/jcma/Fulltext/2022/10000/Winners_of_the_2021_honor_awards_for_excellence_at.1.aspx,"This year's award, sponsored by the Chinese Medical Association-Taipei (CMA-Taipei), is granted to researchers who demonstrate their excellent performance and great contribution to enhanced better patients’ care.",yes (eligible award),, Journal of the Chinese Medical Association (JCMA),Chinese Medical Association (CMA),NA,,not available,,unclear,,not available,NA,not available,,not available,,not avialable,,not available,,not available,,not available,,not available,,not available,,https://journals.lww.com/jcma/Fulltext/2022/10000/Winners_of_the_2021_honor_awards_for_excellence_at.1.aspx,2021,2020,"no single awardee list, searched online but cannot find any before 2020","no formal award description, just info from the winner announcements",,,,,,
2/23/2023 16:16:15,Losia Lagisz,Computer Science,The IEEE Transcations Outstanding Young Author Award,https://ieee-cas.org/award/outstanding-paper-awards/outstanding-young-author-award,"""To honor an especially meritorious paper published in any one of the Society's Transactions whose author at the date of submission is less than 30 years of age.""",yes (eligible award),,NA,IEEE Circuits and Systems Society,NA,,yes,"USD 500 (per author, max $2000)","student, early-career","""Authors of papers published in any one of the Society Transactions during the two calendar years preceding the award, who at the date of submission of the paper shall be less than 30 years of age.""",no,"""Authors of papers published in any one of the Society Transactions during the two calendar years preceding the award, who at the date of submission of the paper shall be less than 30 years of age.""",no,,no,"""The ACC recommends, for appointment by the President, the subcommittee chairs for each of the society awards and prize paper awards."" from https://ieee-cas.org/awards-recognitions/overview",no,from https://ieee-cas.org/awards-recognitions/overview,no,,no,"""Basis for Judging: General quality, originality, contributions, subject matter, and timeliness.""",no,,no,"""A call for nominations for all the CASS awards is issued to the CASS membership every year by 15 November. Nominations for prize paper awards are also solicited from the editorial boards of the publications. "" from https://ieee-cas.org/awards-recognitions/overview",no,"""A call for nominations for all the CASS awards is issued to the CASS membership every year by 15 November. Nominations for prize paper awards are also solicited from the editorial boards of the publications. "" from https://ieee-cas.org/awards-recognitions/overview",https://ieee-cas.org/award/outstanding-paper-awards/outstanding-young-author-award#recipients,2021,2010,,,,,,,,
2/23/2023 16:30:07,Losia Lagisz,Computer Science,The IEEE Communications Society Katherine Johnson Young Author Best Paper Award,https://www.comsoc.org/about/awards/paper-awards/ieee-communications-society-katherine-johnson-young-author-best-paper,"The Katherine Johnson Young Author Best Paper Award honors the author(s) of an especially meritorious paper dealing with a subject related to the Society’s technical scope and who, upon the date of submission of the paper, is less than 30 years of age.",yes (eligible award),,NA,IEEE Communications Society,NA,,yes,USD 1000,"student, early-career",The prize is only presented to the young author(s) who are under 30 years of age and have made a substantial contribution to the paper.,no,The prize is only presented to the young author(s) who are under 30 years of age and have made a substantial contribution to the paper.,no,"""There are no restrictions as to IEEE membership, nationality, race, creed, age or gender. "" - but they do restrict regarding the eligible age and they do not explicitly encourage diverse applicants",no,The IEEE Communications Society Awards Committee will be responsible for the final selection. The committee consists of a chair (appointed by the president for a two-year term) and at least 12 members (appointed by the chair for a three-year term).,no,,no,,no,"Basis for Judging: Originality, utility, timeliness, impact, and clarity of presentation.",no,,no,"Nominations solicited by Editors-in-Chief to the Editorial Boards and Guest Editors of all IEEE Communications Society publications. After screening, each Editor-in-Chief shall submit at least one nomination. Nominations will also be solicited from ComSoc Technical Committee chairs and readership (through published notices).",yes,Applications must be submitted via the nomination form on the website.,https://www.comsoc.org/about/awards/paper-awards/ieee-communications-society-katherine-johnson-young-author-best-paper,2022,2015,,,,,,,,
2/23/2023 16:35:33,Losia Lagisz,Computer Science,Alexander Margulis Award,https://www.rsna.org/journals/radiology/alexander-margulis-award,The Alexander R. Margulis Award for Scientific Excellence recognizes the best original scientific article published in Radiology between July 1 of the prior year and June 30 of the award year. The main criteria for selection are scientific quality and originality. Selections are made by the Nominating Committee and the Selection Committee.,yes (eligible award),,Radiology,Radiological Society of North America,NA,,no,,any career stage,The Alexander R. Margulis Award for Scientific Excellence recognizes the best original scientific article published in Radiology between July 1 of the prior year and June 30 of the award year.,not applicable,The Alexander R. Margulis Award for Scientific Excellence recognizes the best original scientific article published in Radiology between July 1 of the prior year and June 30 of the award year.,no,,no,"Selections are made by the Nominating Committee and the Selection Committee.
",no,,no,,no,The main criteria for selection are scientific quality and originality.,no,,no,Selections are made by the Nominating Committee and the Selection Committee.,no,Selections are made by the Nominating Committee and the Selection Committee.,https://www.rsna.org/journals/radiology/alexander-margulis-award,2022,2012,,,,,,,,
2/23/2023 17:15:04,Losia Lagisz,Computer Science,MISQ Paper of the Year Award,NA,"
NA",yes (eligible award),,MIS Quarterly: Management Information Systems,NA,NA,,not available,,unclear,NA,not available,NA,not available,,not available,,not avialable,,not available,,not available,,not available,,not available,,not available,,https://misq.umn.edu/awards-paper-year,2021,1994,,,,,,,,
2/23/2023 17:25:20,Losia Lagisz,Computer Science,MEDIA MICCAI Best Paper Award,http://www.miccai.org/assets/Uploads/MICCAI-MEDIA-Guidelines2.pdf,"Purpose of the Award
The MICCAI MEDIA Best Paper Award recognizes the highest quality paper in the Special Issue
on the main MICCAI conference published in the Medical Image Analysis (MEDIA) journal.
Typically one award is issued each year, but the journal may decide to split the award between
two winners. The monetary value of the award is $1,000 USD
Award Eligibility
All papers accepted into the MEDIA Special Issue on MICCAI are eligible.",yes (eligible award),,MICCAI MEDIA,The Medical Image Computing and Computer Assisted Intervention Society,NA,,yes,USD 1000,any career stage,All papers accepted into the MEDIA Special Issue on MICCAI are eligible.,not applicable,All papers accepted into the MEDIA Special Issue on MICCAI are eligible.,no,,yes,"The award is decided by the MICCAI conference program chairs and the journal editors. The
program chairs consider all papers comprising the special issue and recommend the top three or
four papers to the journal editors. The journal editors review the short-listed papers and select a
winner and a runner-up. The journal editors may decide to split the award between two winners.
Reasonable effort is made to award papers that did not receive any other MICCAI award.",no,,no,,no,The MICCAI MEDIA Best Paper Award recognizes the highest quality paper in the Special Issue on the main MICCAI conference published in the Medical Image Analysis (MEDIA) journal. ,no,,no,,no,,http://www.miccai.org/about-miccai/awards/medical-image-analysis-best-paper-award,2021,2005,,,,,,,,
2/23/2023 17:37:07,Losia Lagisz,Computer Science,JSIS Best Paper Award,https://www.journals.elsevier.com/the-journal-of-strategic-information-systems/announcements/2021-best-paper-awards,The Journal of Strategic Information Systems (JSIS) is pleased to announce the best paper awards for 2021. Congratulations to the authors of the following publications,yes (eligible award),now award page or info apart of the announcements, (JSIS) is pleased to announce the best paper awards for 2021. Con,NA,NA,,not available,,unclear,,not available,NA,not available,,not available,,not avialable,,not available,,not available,,not available,,not available,,not available,,https://www.journals.elsevier.com/the-journal-of-strategic-information-systems/announcements/2021-best-paper-awards,2021,,need to search the Internet for earlier announcements and news for earlier award winners,,,,,,,
2/23/2023 20:38:33,Losia Lagisz,Computer Science,Information Systems Research (ISR) Best Paper,https://www.informs.org/Recognizing-Excellence/Community-Prizes/Information-Systems-Society/ISR-Best-Published-Paper-Award,"This award is presented to the authors of the best paper published in Information Systems Research, the flagship journal of Information Systems Society each year.",yes (eligible award),,Information Systems Research,Information Systems Society,NA,,no,,any career stage,"This award is presented to the authors of the best paper published in Information Systems Research, the flagship journal of Information Systems Society each year.",not applicable,"This award is presented to the authors of the best paper published in Information Systems Research, the flagship journal of Information Systems Society each year.",no,,no,,no,,no,,no,"This award is presented to the authors of the best paper published in Information Systems Research, the flagship journal of Information Systems Society each year.",no,,no,"This award is presented to the authors of the best paper published in Information Systems Research, the flagship journal of Information Systems Society each year.",no,,https://pubsonline.informs.org/page/isre/awards,2021,2010,need to search the Internet for announcements from other years,,,,,,,
2/23/2023 20:55:00,Losia Lagisz,Computer Science,Annual Reviews in Control Paper Prize,https://www.ifac-control.org/news/call-for-nominations-for-the-journal-paper-prize-awards,"The prizes are given for outstanding contributions in the specific field and category of the IFAC journal
concerned. The number of prizes in each triennium for each journal is indicated above. The funds are
provided by the publisher of IFAC journals, Elsevier Science Ltd. For this triennium, the prizes will be
presented during the Awards Ceremony at the 22nd IFAC World Congress, to be held in Yokohama,
Japan, 9-14 July 2023. ",yes (eligible award),"Journal of Process Control: Three paper prizes in the following categories: 1) Survey, 2)
Theory/Methodology, 3) Application ",Annual Reviews in Control,International Federation of Automatic Control,Elsevier Science Ltd,,no,"not mentioned on the webpage, but sponsored by Elsevier Science Ltd?",any career stage,"To be considered for an IFAC Journal Paper Prize, papers must have appeared in a volume published
during the calendar years 2020, 2021, or 2022.
Papers authored by members of the Selection Committee and by the Editor-in-Chief or the Editors of
the journal are not eligible. ",not applicable,"To be considered for an IFAC Journal Paper Prize, papers must have appeared in a volume published
during the calendar years 2020, 2021, or 2022.
Papers authored by members of the Selection Committee and by the Editor-in-Chief or the Editors of
the journal are not eligible. ",no,,yes,The names and email addresses of the chairs of the selection committees are as follows:  Journal of Process Control: Prof. Podromos Daoutidis. Email: daout001@umn.edu ,no,,no,,no,,no,,no,"For each Journal Paper Prize, nominations should be submitted in electronic form no later than 1 March 2023 to the email address of the chair of the selection committee of the related journal paper prize.",yes,"For each IFAC Journal Paper Prize, a complete nomination should include:
a) A nomination letter that contains the full title of the paper and name(s) of the author(s), as well as the issue (year, month, number) of the journal where the paper has appeared.
b) A brief description of the contributions of the paper, and why (in the opinion of the nominator) the paper deserves the prize. ",https://www.ifac-control.org/awards/journal-awards,2020,,Need to search for earlier years on the internet - usually society conference websites,,,,,,,
